company,founded_year,sector,subsector,country,city,funding_usd_millions,valuation_usd_millions,employees,startup_stage,profitable,is_unicorn,data_source,company_key
Inxeption,2022,Industrials,,United States,San Francisco,,3000.0,,Unicorn,,True,Unicorn Dataset,inxeption
Lattice,2021,Enterprise Tech,,United States,San Francisco,,3000.0,,Unicorn,,True,Unicorn Dataset,lattice
Flutterwave,2021,Financial Services,,United States,San Francisco,,3000.0,,Unicorn,,True,Unicorn Dataset,flutterwave
Amber Group,2021,Financial Services,,Singapore,Singapore City,,3000.0,,Unicorn,,True,Unicorn Dataset,amber group
Cross River Bank,2022,Financial Services,,United States,Fort Lee,,3000.0,,Unicorn,,True,Unicorn Dataset,cross river bank
Remote,2021,Enterprise Tech,,United States,San Francisco,,3000.0,,Unicorn,,True,Unicorn Dataset,remote
Sentry,2021,Enterprise Tech,,United States,San Francisco,,3000.0,,Unicorn,,True,Unicorn Dataset,sentry
Kraken,2019,Financial Services,,United States,San Francisco,,2920.0,,Unicorn,,True,Unicorn Dataset,kraken
Workrise,2019,Industrials,,United States,Austin,,2900.0,,Unicorn,,True,Unicorn Dataset,workrise
BharatPe,2021,Financial Services,,India,New Delhi,,2850.0,,Unicorn,,True,Unicorn Dataset,bharatpe
Gokin Solar,2022,Industrials,,China,Zhuhai,,2880.0,,Unicorn,,True,Unicorn Dataset,gokin solar
DriveWealth,2021,Financial Services,,United States,Chatham,,2850.0,,Unicorn,,True,Unicorn Dataset,drivewealth
Alan,2021,Healthcare & Life Sciences,,France,Paris,,2850.0,,Unicorn,,True,Unicorn Dataset,alan
Meicai,2016,Consumer & Retail,,China,Beijing,,2800.0,,Unicorn,,True,Unicorn Dataset,meicai
Nutrabolt,2022,Consumer & Retail,,United States,Austin,,2790.0,,Unicorn,,True,Unicorn Dataset,nutrabolt
Graphcore,2018,Enterprise Tech,,United Kingdom,Bristol,,2770.0,,Unicorn,,True,Unicorn Dataset,graphcore
Illumio,2015,Enterprise Tech,,United States,Sunnyvale,,2750.0,,Unicorn,,True,Unicorn Dataset,illumio
MasterClass,2021,Media & Entertainment,,United States,San Francisco,,2750.0,,Unicorn,,True,Unicorn Dataset,masterclass
Dream Games,2021,Media & Entertainment,,Turkey,Istanbul,,2750.0,,Unicorn,,True,Unicorn Dataset,dream games
Transmit Security,2021,Enterprise Tech,,Israel,Tel Aviv,,2740.0,,Unicorn,,True,Unicorn Dataset,transmit security
Hozon Auto,2022,Industrials,,China,Shanghai,,3950.0,,Unicorn,,True,Unicorn Dataset,hozon auto
Tradeshift,2018,Enterprise Tech,,United States,San Francisco,,2700.0,,Unicorn,,True,Unicorn Dataset,tradeshift
Nextiva,2021,Enterprise Tech,,United States,Scottsdale,,2700.0,,Unicorn,,True,Unicorn Dataset,nextiva
Tridge,2022,Industrials,,South Korea,Seoul,,2700.0,,Unicorn,,True,Unicorn Dataset,tridge
Thought Machine,2021,Financial Services,,United Kingdom,London,,2700.0,,Unicorn,,True,Unicorn Dataset,thought machine
Starling Bank,2021,Financial Services,,United Kingdom,London,,2690.0,,Unicorn,,True,Unicorn Dataset,starling bank
Figure,2024,Industrials,,United States,Sunnyvale,,2680.0,,Unicorn,,True,Unicorn Dataset,figure
BackBase,2022,Financial Services,,Netherlands,Amsterdam,,2660.0,,Unicorn,,True,Unicorn Dataset,backbase
ManoMano,2021,Consumer & Retail,,France,Paris,,2600.0,,Unicorn,,True,Unicorn Dataset,manomano
Sourcegraph,2021,Enterprise Tech,,United States,San Francisco,,2620.0,,Unicorn,,True,Unicorn Dataset,sourcegraph
Pendo,2019,Enterprise Tech,,United States,Raleigh,,2600.0,,Unicorn,,True,Unicorn Dataset,pendo
Plume,2021,Industrials,,United States,Palo Alto,,2600.0,,Unicorn,,True,Unicorn Dataset,plume
Moglix,2021,Industrials,,Singapore,Singapore City,,2600.0,,Unicorn,,True,Unicorn Dataset,moglix
Axonius,2021,Enterprise Tech,,United States,New York,,2600.0,,Unicorn,,True,Unicorn Dataset,axonius
Xinchao Media,2018,Media & Entertainment,,China,Chengdu,,2000.0,,Unicorn,,True,Unicorn Dataset,xinchao media
JumpCloud,2021,Enterprise Tech,,United States,Louisville,,2620.0,,Unicorn,,True,Unicorn Dataset,jumpcloud
Unico,2021,Enterprise Tech,,Brazil,Sao Paulo,,2600.0,,Unicorn,,True,Unicorn Dataset,unico
Bending Spoons,2024,Consumer & Retail,,Italy,Milan,,2550.0,,Unicorn,,True,Unicorn Dataset,bending spoons
Oura,2022,Healthcare & Life Sciences,,Finland,Oulu,,2550.0,,Unicorn,,True,Unicorn Dataset,oura
JUST Egg,2017,Consumer & Retail,,United States,San Francisco,,2590.0,,Unicorn,,True,Unicorn Dataset,just egg
Cribl,2021,Enterprise Tech,,United States,San Francisco,,2500.0,,Unicorn,,True,Unicorn Dataset,cribl
Jetti Resources,2022,Industrials,,United States,Boulder,,2500.0,,Unicorn,,True,Unicorn Dataset,jetti resources
ChaBaiDao,2023,Consumer & Retail,,China,Chengdu,,2520.0,,Unicorn,,True,Unicorn Dataset,chabaidao
Claroty,2021,Enterprise Tech,,United States,New York,,2500.0,,Unicorn,,True,Unicorn Dataset,claroty
AlphaSense,2022,Enterprise Tech,,United States,New York,,2500.0,,Unicorn,,True,Unicorn Dataset,alphasense
Moonshot AI,2024,Consumer & Retail,,China,Beijing,,2500.0,,Unicorn,,True,Unicorn Dataset,moonshot ai
Vista Global,2017,Industrials,,United Arab Emirates,Dubai,,2500.0,,Unicorn,,True,Unicorn Dataset,vista global
BYTON,2018,Industrials,,China,Nanjing,,2500.0,,Unicorn,,True,Unicorn Dataset,byton
Side,2021,Financial Services,,United States,San Francisco,,2500.0,,Unicorn,,True,Unicorn Dataset,side
Spring Health,2021,Healthcare & Life Sciences,,United States,New York,,2500.0,,Unicorn,,True,Unicorn Dataset,spring health
Infra.Market,2021,Industrials,,India,Thane,,2500.0,,Unicorn,,True,Unicorn Dataset,infra.market
Varo Bank,2021,Financial Services,,United States,San Francisco,,2500.0,,Unicorn,,True,Unicorn Dataset,varo bank
Cato Networks,2020,Enterprise Tech,,Israel,Tel Aviv,,3000.0,,Unicorn,,True,Unicorn Dataset,cato networks
Aura,2021,Consumer & Retail,,United States,Burlington,,2500.0,,Unicorn,,True,Unicorn Dataset,aura
Vercel,2021,Enterprise Tech,,United States,San Francisco,,2500.0,,Unicorn,,True,Unicorn Dataset,vercel
Sysdig,2021,Enterprise Tech,,United States,San Francisco,,2500.0,,Unicorn,,True,Unicorn Dataset,sysdig
Zetwerk,2021,Industrials,,India,Bengaluru,,2800.0,,Unicorn,,True,Unicorn Dataset,zetwerk
Uniphore,2022,Enterprise Tech,,United States,Palo Alto,,2500.0,,Unicorn,,True,Unicorn Dataset,uniphore
Somatus,2022,Healthcare & Life Sciences,,United States,McLean,,2500.0,,Unicorn,,True,Unicorn Dataset,somatus
Immutable,2022,Media & Entertainment,,Australia,Sydney,,2500.0,,Unicorn,,True,Unicorn Dataset,immutable
A24 Films,2022,Media & Entertainment,,United States,New York,,2500.0,,Unicorn,,True,Unicorn Dataset,a24 films
SiFive,2022,Enterprise Tech,,United States,San Mateo,,2500.0,,Unicorn,,True,Unicorn Dataset,sifive
Games24x7,2022,Media & Entertainment,,India,Mumbai,,2500.0,,Unicorn,,True,Unicorn Dataset,games24x7
Fetch,2021,Consumer & Retail,,United States,Madison,,2500.0,,Unicorn,,True,Unicorn Dataset,fetch
Coda Payments,2022,Financial Services,,Singapore,Singapore City,,2500.0,,Unicorn,,True,Unicorn Dataset,coda payments
DriveNets,2021,Enterprise Tech,,Israel,Ra'anana,,2500.0,,Unicorn,,True,Unicorn Dataset,drivenets
Hibob,2021,Enterprise Tech,,Israel,Tel Aviv,,2450.0,,Unicorn,,True,Unicorn Dataset,hibob
Uala,2021,Financial Services,,Argentina,Buenos Aires,,2450.0,,Unicorn,,True,Unicorn Dataset,uala
Mobile Premier League,2021,Media & Entertainment,,India,Bengaluru,,2450.0,,Unicorn,,True,Unicorn Dataset,mobile premier league
insitro,2021,Healthcare & Life Sciences,,United States,South San Francisco,,2440.0,,Unicorn,,True,Unicorn Dataset,insitro
Cgtz,2017,Financial Services,,China,Hangzhou,,2410.0,,Unicorn,,True,Unicorn Dataset,cgtz
Star Charge,2021,Industrials,,China,Changzhou,,2410.0,,Unicorn,,True,Unicorn Dataset,star charge
Carbon,2015,Industrials,,United States,Redwood City,,2400.0,,Unicorn,,True,Unicorn Dataset,carbon
Rokt,2021,Consumer & Retail,,United States,New York,,2400.0,,Unicorn,,True,Unicorn Dataset,rokt
Paxos,2021,Financial Services,,United States,New York,,2400.0,,Unicorn,,True,Unicorn Dataset,paxos
Exabeam,2021,Enterprise Tech,,United States,Foster City,,2400.0,,Unicorn,,True,Unicorn Dataset,exabeam
BitSight Technologies,2021,Enterprise Tech,,United States,Boston,,2400.0,,Unicorn,,True,Unicorn Dataset,bitsight technologies
Trumid,2020,Financial Services,,United States,New York,,2400.0,,Unicorn,,True,Unicorn Dataset,trumid
ABL Space Systems,2021,Industrials,,United States,El Segundo,,2400.0,,Unicorn,,True,Unicorn Dataset,abl space systems
HoneyBook,2021,Enterprise Tech,,United States,San Francisco,,2400.0,,Unicorn,,True,Unicorn Dataset,honeybook
Beta Technologies,2022,Industrials,,United States,South Burlington,,2400.0,,Unicorn,,True,Unicorn Dataset,beta technologies
Project44,2021,Enterprise Tech,,United States,Chicago,,2620.0,,Unicorn,,True,Unicorn Dataset,project44
Freenome,2020,Healthcare & Life Sciences,,United States,South San Francisco,,2620.0,,Unicorn,,True,Unicorn Dataset,freenome
ManyPets,2021,Insurance,,United Kingdom,London,,2350.0,,Unicorn,,True,Unicorn Dataset,manypets
Jobandtalent,2021,Enterprise Tech,,Spain,Madrid,,2350.0,,Unicorn,,True,Unicorn Dataset,jobandtalent
WEMAKEPRICE,2015,Consumer & Retail,,South Korea,Seoul,,2340.0,,Unicorn,,True,Unicorn Dataset,wemakeprice
Biren Technology,2020,Enterprise Tech,,China,Shanghai,,2320.0,,Unicorn,,True,Unicorn Dataset,biren technology
Glean,2022,Enterprise Tech,,United States,Palo Alto,,2200.0,,Unicorn,,True,Unicorn Dataset,glean
Voodoo,2020,Media & Entertainment,,France,Paris,,2310.0,,Unicorn,,True,Unicorn Dataset,voodoo
Shield AI,2021,Industrials,,United States,San Diego,,2800.0,,Unicorn,,True,Unicorn Dataset,shield ai
Uptake,2015,Industrials,,United States,Chicago,,2300.0,,Unicorn,,True,Unicorn Dataset,uptake
Motive,2019,Industrials,,United States,San Francisco,,2850.0,,Unicorn,,True,Unicorn Dataset,motive
Greenlight,2020,Financial Services,,United States,Atlanta,,2300.0,,Unicorn,,True,Unicorn Dataset,greenlight
MoMo,2021,Financial Services,,Vietnam,Ho Chi Minh City,,2270.0,,Unicorn,,True,Unicorn Dataset,momo
Algolia,2021,Enterprise Tech,,United States,San Francisco,,2250.0,,Unicorn,,True,Unicorn Dataset,algolia
Pattern,2021,Consumer & Retail,,United States,Lehi,,2250.0,,Unicorn,,True,Unicorn Dataset,pattern
Newfront Insurance,2022,Insurance,,United States,San Francisco,,2200.0,,Unicorn,,True,Unicorn Dataset,newfront insurance
NuCom Group,2018,Consumer & Retail,,Germany,Unterfoehring,,2200.0,,Unicorn,,True,Unicorn Dataset,nucom group
Skydio,2021,Industrials,,United States,Redwood City,,2200.0,,Unicorn,,True,Unicorn Dataset,skydio
MUSINSA,2019,Consumer & Retail,,South Korea,Seoul,,2760.0,,Unicorn,,True,Unicorn Dataset,musinsa
Current,2021,Financial Services,,United States,New York,,2200.0,,Unicorn,,True,Unicorn Dataset,current
Bitso,2021,Financial Services,,Mexico,Mexico City,,2200.0,,Unicorn,,True,Unicorn Dataset,bitso
Gympass,2019,Healthcare & Life Sciences,,United States,New York,,2400.0,,Unicorn,,True,Unicorn Dataset,gympass
Dialpad,2020,Enterprise Tech,,United States,San Francisco,,2200.0,,Unicorn,,True,Unicorn Dataset,dialpad
G7 Networks,2022,Industrials,,China,Beijing,,2200.0,,Unicorn,,True,Unicorn Dataset,g7 networks
BloomReach,2022,Consumer & Retail,,United States,Mountain View,,2200.0,,Unicorn,,True,Unicorn Dataset,bloomreach
Motif FoodWorks,2021,Industrials,,United States,Boston,,2200.0,,Unicorn,,True,Unicorn Dataset,motif foodworks
Accelerant,2022,Insurance,,United Kingdom,Colchester,,2400.0,,Unicorn,,True,Unicorn Dataset,accelerant
YITU Technology,2018,Enterprise Tech,,China,Shanghai,,2170.0,,Unicorn,,True,Unicorn Dataset,yitu technology
Addepar,2021,Financial Services,,United States,Mountain View,,2170.0,,Unicorn,,True,Unicorn Dataset,addepar
Qualia,2020,Financial Services,,United States,San Francisco,,2170.0,,Unicorn,,True,Unicorn Dataset,qualia
Neo4j,2021,Enterprise Tech,,United States,San Mateo,,2000.0,,Unicorn,,True,Unicorn Dataset,neo4j
CloudWalk,2021,Financial Services,,Brazil,Sao Paulo,,2150.0,,Unicorn,,True,Unicorn Dataset,cloudwalk
CoinDCX,2021,Financial Services,,India,Maharashtra,,2150.0,,Unicorn,,True,Unicorn Dataset,coindcx
Eightfold,2020,Enterprise Tech,,United States,Santa Clara,,2100.0,,Unicorn,,True,Unicorn Dataset,eightfold
Urban Company,2021,Consumer & Retail,,India,Gurgaon,,2100.0,,Unicorn,,True,Unicorn Dataset,urban company
Moveworks,2021,Enterprise Tech,,United States,Mountain View,,2100.0,,Unicorn,,True,Unicorn Dataset,moveworks
Medable,2021,Healthcare & Life Sciences,,United States,Palo Alto,,2100.0,,Unicorn,,True,Unicorn Dataset,medable
GoCardless,2022,Financial Services,,United Kingdom,London,,2100.0,,Unicorn,,True,Unicorn Dataset,gocardless
Aledade,2021,Healthcare & Life Sciences,,United States,Bethesda,,3500.0,,Unicorn,,True,Unicorn Dataset,aledade
FirstCry,2020,Consumer & Retail,,India,Pune,,3750.0,,Unicorn,,True,Unicorn Dataset,firstcry
Forto,2021,Industrials,,Germany,Berlin,,2100.0,,Unicorn,,True,Unicorn Dataset,forto
Jeeves,2022,Enterprise Tech,,United States,Orlando,,2100.0,,Unicorn,,True,Unicorn Dataset,jeeves
Viva Wallet,2022,Financial Services,,Greece,Athens,,2050.0,,Unicorn,,True,Unicorn Dataset,viva wallet
CoreWeave,2023,Enterprise Tech,,United States,Roseland,,2220.0,,Unicorn,,True,Unicorn Dataset,coreweave
Mistral AI,2023,Enterprise Tech,,France,Paris,,2000.0,,Unicorn,,True,Unicorn Dataset,mistral ai
Babel Finance,2022,Financial Services,,Hong Kong,Hong Kong,,2000.0,,Unicorn,,True,Unicorn Dataset,babel finance
Trendy Group International,2012,Consumer & Retail,,Hong Kong,Kowloon,,2000.0,,Unicorn,,True,Unicorn Dataset,trendy group international
GrubMarket,2021,Consumer & Retail,,United States,San Francisco,,2000.0,,Unicorn,,True,Unicorn Dataset,grubmarket
BeZero,2022,Enterprise Tech,,United Kingdom,London,,2000.0,,Unicorn,,True,Unicorn Dataset,bezero
Cohere,2023,Enterprise Tech,,Canada,Toronto,,2000.0,,Unicorn,,True,Unicorn Dataset,cohere
GO1,2021,Enterprise Tech,,Australia,Brisbane,,2000.0,,Unicorn,,True,Unicorn Dataset,go1
Clear Street,2022,Financial Services,,United States,New York,,2000.0,,Unicorn,,True,Unicorn Dataset,clear street
Drata,2021,Enterprise Tech,,United States,San Diego,,2000.0,,Unicorn,,True,Unicorn Dataset,drata
Mysten Labs,2022,Enterprise Tech,,United States,San Francisco,,2000.0,,Unicorn,,True,Unicorn Dataset,mysten labs
Avant,2012,Financial Services,,United States,Chicago,,2000.0,,Unicorn,,True,Unicorn Dataset,avant
Tubatu.com,2015,Consumer & Retail,,China,Shenzhen,,2000.0,,Unicorn,,True,Unicorn Dataset,tubatu.com
BlaBlaCar,2015,Consumer & Retail,,France,Paris,,2000.0,,Unicorn,,True,Unicorn Dataset,blablacar
HuiMin,2016,Consumer & Retail,,China,Beijing,,2000.0,,Unicorn,,True,Unicorn Dataset,huimin
Preferred Networks,2018,Industrials,,Japan,Tokyo,,2000.0,,Unicorn,,True,Unicorn Dataset,preferred networks
Formlabs,2018,Industrials,,United States,Somerville,,2000.0,,Unicorn,,True,Unicorn Dataset,formlabs
Calm,2019,Healthcare & Life Sciences,,United States,San Francisco,,2000.0,,Unicorn,,True,Unicorn Dataset,calm
Kaseya,2019,Enterprise Tech,,United States,Miami,,2000.0,,Unicorn,,True,Unicorn Dataset,kaseya
Mafengwo,2019,Consumer & Retail,,China,Beijing,,2000.0,,Unicorn,,True,Unicorn Dataset,mafengwo
Druva,2019,Enterprise Tech,,United States,Sunnyvale,,2000.0,,Unicorn,,True,Unicorn Dataset,druva
Kujiale,2019,Consumer & Retail,,China,Hangzhou,,2000.0,,Unicorn,,True,Unicorn Dataset,kujiale
AppsFlyer,2020,Enterprise Tech,,United States,San Francisco,,2000.0,,Unicorn,,True,Unicorn Dataset,appsflyer
Redis,2020,Enterprise Tech,,United States,Mountain View,,2000.0,,Unicorn,,True,Unicorn Dataset,redis
Xingyun Group,2020,Consumer & Retail,,China,Shenzhen,,2000.0,,Unicorn,,True,Unicorn Dataset,xingyun group
Unqork,2020,Insurance,,United States,New York,,2000.0,,Unicorn,,True,Unicorn Dataset,unqork
Virta Health,2020,Healthcare & Life Sciences,,United States,San Francisco,,2000.0,,Unicorn,,True,Unicorn Dataset,virta health
ISN,2020,Industrials,,United States,Dallas,,2000.0,,Unicorn,,True,Unicorn Dataset,isn
Earnix,2021,Insurance,,Israel,Giv'atayim,,2000.0,,Unicorn,,True,Unicorn Dataset,earnix
Clearco,2021,Financial Services,,Canada,Toronto,,2000.0,,Unicorn,,True,Unicorn Dataset,clearco
Hive,2021,Enterprise Tech,,United States,San Francisco,,2000.0,,Unicorn,,True,Unicorn Dataset,hive
Kry,2021,Healthcare & Life Sciences,,Sweden,Stockholm,,2000.0,,Unicorn,,True,Unicorn Dataset,kry
Kajabi,2021,Media & Entertainment,,United States,Irvine,,2000.0,,Unicorn,,True,Unicorn Dataset,kajabi
Ethos,2021,Insurance,,United States,San Francisco,,2700.0,,Unicorn,,True,Unicorn Dataset,ethos
PayFit,2022,Enterprise Tech,,United Kingdom,London,,2100.0,,Unicorn,,True,Unicorn Dataset,payfit
Beisen,2021,Enterprise Tech,,China,Beijing,,2000.0,,Unicorn,,True,Unicorn Dataset,beisen
Pipe,2021,Financial Services,,United States,Miami,,2000.0,,Unicorn,,True,Unicorn Dataset,pipe
Iterable,2021,Enterprise Tech,,United States,San Francisco,,2000.0,,Unicorn,,True,Unicorn Dataset,iterable
Astronergy,2023,Industrials,,China,Haining,,1820.0,,Unicorn,,True,Unicorn Dataset,astronergy
Helsing,2023,Enterprise Tech,,Germany,Munchen,,1820.0,,Unicorn,,True,Unicorn Dataset,helsing
Bunq,2021,Financial Services,,Netherlands,Amsterdam,,1800.0,,Unicorn,,True,Unicorn Dataset,bunq
Quest Global,2023,Industrials,,Singapore,Singapore City,,1800.0,,Unicorn,,True,Unicorn Dataset,quest global
Clip,2021,Financial Services,,Mexico,Mexico City,,2000.0,,Unicorn,,True,Unicorn Dataset,clip
Loggi,2019,Industrials,,Brazil,Sao Paulo,,2000.0,,Unicorn,,True,Unicorn Dataset,loggi
MURAL,2021,Enterprise Tech,,United States,San Francisco,,2000.0,,Unicorn,,True,Unicorn Dataset,mural
OCSiAl,2019,Industrials,,Luxembourg,Leudelange,,2000.0,,Unicorn,,True,Unicorn Dataset,ocsial
XtalPi,2021,Healthcare & Life Sciences,,China,Shenzhen,,2000.0,,Unicorn,,True,Unicorn Dataset,xtalpi
Divvy Homes,2021,Financial Services,,United States,San Francisco,,2000.0,,Unicorn,,True,Unicorn Dataset,divvy homes
Apeel Sciences,2020,Consumer & Retail,,United States,Goleta,,2000.0,,Unicorn,,True,Unicorn Dataset,apeel sciences
Opay,2021,Financial Services,,Nigeria,Lagos,,2000.0,,Unicorn,,True,Unicorn Dataset,opay
Aviatrix,2021,Enterprise Tech,,United States,Santa Clara,,2000.0,,Unicorn,,True,Unicorn Dataset,aviatrix
SmartNews,2019,Media & Entertainment,,Japan,Tokyo,,2000.0,,Unicorn,,True,Unicorn Dataset,smartnews
Misfits Market,2021,Consumer & Retail,,United States,Pennsauken,,2000.0,,Unicorn,,True,Unicorn Dataset,misfits market
Black Sesame Technologies,2021,Industrials,,China,Shanghai,,2000.0,,Unicorn,,True,Unicorn Dataset,black sesame technologies
Advance Intelligence Group,2021,Financial Services,,Singapore,Singapore City,,2000.0,,Unicorn,,True,Unicorn Dataset,advance intelligence group
Modern Treasury,2021,Financial Services,,United States,San Francisco,,2000.0,,Unicorn,,True,Unicorn Dataset,modern treasury
Magic Leap,2014,Enterprise Tech,,United States,Plantation,,2000.0,,Unicorn,,True,Unicorn Dataset,magic leap
ClickHouse,2021,Enterprise Tech,,United States,Portola Valley,,2000.0,,Unicorn,,True,Unicorn Dataset,clickhouse
Everlaw,2020,Enterprise Tech,,United States,Oakland,,2000.0,,Unicorn,,True,Unicorn Dataset,everlaw
Zilch,2021,Financial Services,,United Kingdom,London,,2000.0,,Unicorn,,True,Unicorn Dataset,zilch
VerbIT,2021,Enterprise Tech,,United States,New York,,2000.0,,Unicorn,,True,Unicorn Dataset,verbit
StarkWare,2021,Enterprise Tech,,Israel,Netanya,,8000.0,,Unicorn,,True,Unicorn Dataset,starkware
Netlify,2021,Enterprise Tech,,United States,San Francisco,,2000.0,,Unicorn,,True,Unicorn Dataset,netlify
SWORD Health,2021,Healthcare & Life Sciences,,United States,New York,,2000.0,,Unicorn,,True,Unicorn Dataset,sword health
LTK,2021,Media & Entertainment,,United States,Dallas,,2000.0,,Unicorn,,True,Unicorn Dataset,ltk
Trax,2019,Consumer & Retail,,Singapore,Singapore City,,2000.0,,Unicorn,,True,Unicorn Dataset,trax
Exotec,2022,Industrials,,France,Croix,,2000.0,,Unicorn,,True,Unicorn Dataset,exotec
Dremio,2021,Enterprise Tech,,United States,Santa Clara,,2000.0,,Unicorn,,True,Unicorn Dataset,dremio
Akulaku,2022,Financial Services,,Indonesia,Jakarta,,2000.0,,Unicorn,,True,Unicorn Dataset,akulaku
Cloudinary,2022,Media & Entertainment,,United States,Santa Clara,,2000.0,,Unicorn,,True,Unicorn Dataset,cloudinary
Lunar,2021,Financial Services,,Denmark,Aarhus,,2000.0,,Unicorn,,True,Unicorn Dataset,lunar
UpGrad,2021,Consumer & Retail,,India,Mumbai,,2250.0,,Unicorn,,True,Unicorn Dataset,upgrad
Salsify,2022,Consumer & Retail,,United States,Boston,,2000.0,,Unicorn,,True,Unicorn Dataset,salsify
CertiK,2022,Enterprise Tech,,United States,New York,,2000.0,,Unicorn,,True,Unicorn Dataset,certik
ROX Motor,2022,Industrials,,China,Shanghai,,2000.0,,Unicorn,,True,Unicorn Dataset,rox motor
Devo Technology,2021,Enterprise Tech,,United States,Cambridge,,2000.0,,Unicorn,,True,Unicorn Dataset,devo technology
ShiftKey,2023,Healthcare & Life Sciences,,United States,Dallas,,2000.0,,Unicorn,,True,Unicorn Dataset,shiftkey
Rimac Automobili,2022,Industrials,,Croatia,Sveta Nedelja,,2000.0,,Unicorn,,True,Unicorn Dataset,rimac automobili
Geek+,2018,Industrials,,China,Beijing,,2000.0,,Unicorn,,True,Unicorn Dataset,geek+
21.co,2022,Financial Services,,United States,New York,,2000.0,,Unicorn,,True,Unicorn Dataset,21.co
Solugen,2021,Industrials,,United States,Houston,,2000.0,,Unicorn,,True,Unicorn Dataset,solugen
ZigBang,2022,Financial Services,,South Korea,Seoul,,1930.0,,Unicorn,,True,Unicorn Dataset,zigbang
Ankorstore,2022,Consumer & Retail,,France,Paris,,1980.0,,Unicorn,,True,Unicorn Dataset,ankorstore
InVision,2017,Enterprise Tech,,United States,New York,,1900.0,,Unicorn,,True,Unicorn Dataset,invision
eDaili,2019,Financial Services,,China,Shanghai,,1900.0,,Unicorn,,True,Unicorn Dataset,edaili
commercetools,2021,Enterprise Tech,,Germany,Munich,,1900.0,,Unicorn,,True,Unicorn Dataset,commercetools
NinjaOne,2024,Enterprise Tech,,United States,Austin,,1900.0,,Unicorn,,True,Unicorn Dataset,ninjaone
MX,2021,Financial Services,,United States,Lehi,,1900.0,,Unicorn,,True,Unicorn Dataset,mx
CoinSwitch,2021,Financial Services,,India,Bangalore,,1900.0,,Unicorn,,True,Unicorn Dataset,coinswitch
Acorns,2022,Financial Services,,United States,Irvine,,1900.0,,Unicorn,,True,Unicorn Dataset,acorns
Fever,2022,Media & Entertainment,,United States,New York,,1960.0,,Unicorn,,True,Unicorn Dataset,fever
Roofstock,2022,Financial Services,,United States,Oakland,,1940.0,,Unicorn,,True,Unicorn Dataset,roofstock
thatgamecompany,2022,Media & Entertainment,,United States,Los Angeles,,1940.0,,Unicorn,,True,Unicorn Dataset,thatgamecompany
ConcertAI,2022,Healthcare & Life Sciences,,United States,Boston,,1900.0,,Unicorn,,True,Unicorn Dataset,concertai
Material Bank,2022,Industrials,,United States,Boca Raton,,1900.0,,Unicorn,,True,Unicorn Dataset,material bank
Volocopter,2022,Industrials,,Germany,Bruchsal,,1870.0,,Unicorn,,True,Unicorn Dataset,volocopter
ENOVATE,2019,Industrials,,China,Shanghai,,1850.0,,Unicorn,,True,Unicorn Dataset,enovate
MEGAZONE,2022,Enterprise Tech,,South Korea,Seoul,,1830.0,,Unicorn,,True,Unicorn Dataset,megazone
CFGI,2021,Financial Services,,United States,Boston,,1850.0,,Unicorn,,True,Unicorn Dataset,cfgi
ZocDoc,2015,Healthcare & Life Sciences,,United States,New York,,1800.0,,Unicorn,,True,Unicorn Dataset,zocdoc
Scroll,2023,Financial Services,,Seychelles,Victoria,,1800.0,,Unicorn,,True,Unicorn Dataset,scroll
Diamond Foundry,2021,Industrials,,United States,San Francisco,,1800.0,,Unicorn,,True,Unicorn Dataset,diamond foundry
Quantexa,2023,Enterprise Tech,,United Kingdom,London,,1800.0,,Unicorn,,True,Unicorn Dataset,quantexa
FullStory,2021,Enterprise Tech,,United States,Atlanta,,1800.0,,Unicorn,,True,Unicorn Dataset,fullstory
Lightricks,2019,Media & Entertainment,,Israel,Jerusalem,,1800.0,,Unicorn,,True,Unicorn Dataset,lightricks
Opentrons,2021,Healthcare & Life Sciences,,United States,New York,,1800.0,,Unicorn,,True,Unicorn Dataset,opentrons
Kindbody,2023,Healthcare & Life Sciences,,United States,Kindbody,,1800.0,,Unicorn,,True,Unicorn Dataset,kindbody
Slice,2021,Financial Services,,India,Bengaluru,,1800.0,,Unicorn,,True,Unicorn Dataset,slice
Cambrian BioPharma,2021,Healthcare & Life Sciences,,United States,Brooklyn,,1790.0,,Unicorn,,True,Unicorn Dataset,cambrian biopharma
AIWAYS,2018,Industrials,,China,Shanghai,,1780.0,,Unicorn,,True,Unicorn Dataset,aiways
Trulioo,2021,Financial Services,,Canada,Vancouver,,1750.0,,Unicorn,,True,Unicorn Dataset,trulioo
BitGo,2023,Financial Services,,United States,Palo Alto,,1750.0,,Unicorn,,True,Unicorn Dataset,bitgo
Spinny,2021,Industrials,,India,Gurugram,,1750.0,,Unicorn,,True,Unicorn Dataset,spinny
Crusoe,2022,Industrials,,United States,Denver,,1750.0,,Unicorn,,True,Unicorn Dataset,crusoe
Orca Security,2021,Enterprise Tech,,United States,Portland,,1800.0,,Unicorn,,True,Unicorn Dataset,orca security
Apus Group,2015,Consumer & Retail,,China,Beijing,,1730.0,,Unicorn,,True,Unicorn Dataset,apus group
Razor,2021,Consumer & Retail,,Germany,Berlin,,1700.0,,Unicorn,,True,Unicorn Dataset,razor
Micro Connect,2023,Financial Services,,Hong Kong,Hong Kong,,1700.0,,Unicorn,,True,Unicorn Dataset,micro connect
